"Name"	"No_of_Genes"	"Sig_Direct"	"Sig_Combi"	"p_Hyper"	"p_Hyper_FWER"	"p_PathNet"	"p_PathNet_FWER"
"94"	"Natural killer cell mediated cytoto"	131	35	39	0.882974762174657	1	0.759335325583396	1
"95"	"Phototransduction"	29	11	8	0.268296381724128	1	0.765909794851279	1
"96"	"ECM-receptor interaction"	83	9	24	0.999997157927594	1	0.778636798250744	1
"97"	"Peroxisome"	77	23	22	0.631506769100829	1	0.79204672074676	1
"98"	"Hematopoietic cell lineage"	85	19	24	0.972180722180035	1	0.819493672472595	1
"99"	"Amoebiasis"	105	23	30	0.986685506628852	1	0.820917716923362	1
"100"	"Prion diseases"	35	10	9	0.685389242715773	1	0.844268049599253	1
"101"	"RIG-I-like receptor signaling pathw"	70	17	19	0.916230498845912	1	0.853448465091194	1
"102"	"Basal cell carcinoma"	53	12	14	0.934268254789954	1	0.85633959415377	1
"103"	"Pancreatic secretion"	97	28	26	0.716217227182275	1	0.899420177360468	1
"104"	"Type I diabetes mellitus"	43	11	10	0.826963759156522	1	0.927423092744291	1
"105"	"Circadian rhythm - mammal"	21	7	4	0.491628736538862	1	0.943526399011032	1
"106"	"Renin-angiotensin system"	17	3	3	0.9351651141221	1	0.946988501271843	1
"107"	"Vascular smooth muscle contraction"	113	34	29	0.62364744925529	1	0.949600341470333	1
"108"	"Cytosolic DNA-sensing pathway"	53	14	12	0.810227023601403	1	0.954575504435162	1
"109"	"Hedgehog signaling pathway"	53	16	12	0.605540077375145	1	0.954575504435162	1
"110"	"Proximal tubule bicarbonate reclama"	23	9	4	0.264030840828616	1	0.966691853941436	1
"111"	"Viral myocarditis"	70	15	16	0.973604126941881	1	0.969035983184115	1
"112"	"PPAR signaling pathway"	68	16	15	0.934110974600809	1	0.97703779337425	1
"113"	"Cell adhesion molecules (CAMs)"	131	32	32	0.963171794112729	1	0.981244352521469	1
"114"	"Maturity onset diabetes of the youn"	23	5	3	0.886831684980661	1	0.991177993399089	1
"115"	"ABC transporters"	43	8	7	0.978155281394837	1	0.994687148406543	1
"116"	"Complement and coagulation cascades"	67	13	12	0.989134740735496	1	0.997395297547431	1
"117"	"Antigen processing and presentation"	73	18	13	0.9085855395623	1	0.998297184536692	1
"118"	"Intestinal immune network for IgA p"	48	7	7	0.997556373025451	1	0.998564051224589	1
"119"	"Primary immunodeficiency"	35	5	4	0.993720423808105	1	0.998998922007011	1
"120"	"Graft-versus-host disease"	40	7	5	0.983340000109086	1	0.999014671950462	1
"121"	"Malaria"	51	6	7	0.999695079371973	1	0.999365948402659	1
"122"	"Jak-STAT signaling pathway"	153	40	32	0.924731386690674	1	0.999434531587812	1
"123"	"Allograft rejection"	37	6	4	0.987926748146297	1	0.999463865150639	1
"124"	"Asthma"	30	4	2	0.993365368103619	1	0.999875525303899	1
"125"	"Systemic lupus erythematosus"	117	17	19	0.999991278335902	1	0.999978242647117	1
"126"	"Taste transduction"	45	3	3	0.99998889561143	1	0.999994409318703	1
"127"	"Autoimmune thyroid disease"	51	9	4	0.990343893125091	1	0.999994466545351	1
"128"	"Olfactory transduction"	114	23	14	0.996957270976084	1	0.999999854693457	1
"129"	"Neuroactive ligand-receptor interac"	271	52	50	0.999998079680468	1	0.999999952101882	1
"130"	"Cytokine-cytokine receptor interact"	256	45	42	0.999999850806521	1	0.999999998984216	1
