"ABC transporters"	"Acute myeloid leukemia"	"Adherens junction"	"Adipocytokine signaling pathway"	"Aldosterone-regulated sodium reabsorption"	"Allograft rejection"	"Alzheimers disease"	"Amoebiasis"	"Amyotrophic lateral sclerosis (ALS)"	"Antigen processing and presentation"	"Apoptosis"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"Asthma"	"Autoimmune thyroid disease"	"Axon guidance"	"B cell receptor signaling pathway"	"Bacterial invasion of epithelial cells"	"Basal cell carcinoma"	"Basal transcription factors"	"Base excision repair"	"Bladder cancer"	"Calcium signaling pathway"	"Carbohydrate digestion and absorption"	"Cardiac muscle contraction"	"Cell adhesion molecules (CAMs)"	"Cell cycle"	"Chagas disease"	"Chemokine signaling pathway"	"Chronic myeloid leukemia"	"Circadian rhythm - mammal"	"Collecting duct acid secretion"	"Colorectal cancer"	"Complement and coagulation cascades"	"Cytokine-cytokine receptor interaction"	"Cytosolic DNA-sensing pathway"	"Dilated cardiomyopathy"	"DNA replication"	"Dorso-ventral axis formation"	"ECM-receptor interaction"	"Endocytosis"	"Endometrial cancer"	"Epithelial cell signaling in Helicobacter pylori infection"	"ErbB signaling pathway"	"Fc epsilon RI signaling pathway"	"Fc gamma R-mediated phagocytosis"	"Focal adhesion"	"Gap junction"	"Gastric acid secretion"	"Glioma"	"GnRH signaling pathway"	"Graft-versus-host disease"	"Hedgehog signaling pathway"	"Hematopoietic cell lineage"	"Homologous recombination"	"Huntingtons disease"	"Hypertrophic cardiomyopathy (HCM)"	"Insulin signaling pathway"	"Intestinal immune network for IgA production"	"Jak-STAT signaling pathway"	"Leishmaniasis"	"Leukocyte transendothelial migration"	"Long-term depression"	"Long-term potentiation"	"Lysosome"	"Malaria"	"MAPK signaling pathway"	"Maturity onset diabetes of the young"	"Melanogenesis"	"Melanoma"	"Mismatch repair"	"mTOR signaling pathway"	"Natural killer cell mediated cytotoxicity"	"Neuroactive ligand-receptor interaction"	"Neurotrophin signaling pathway"	"NOD-like receptor signaling pathway"	"Non-homologous end-joining"	"Non-small cell lung cancer"	"Notch signaling pathway"	"Nucleotide excision repair"	"Olfactory transduction"	"Oocyte meiosis"	"p53 signaling pathway"	"Pancreatic cancer"	"Pancreatic secretion"	"Parkinsons disease"	"Pathogenic Escherichia coli infection"	"Pathways in cancer"	"Peroxisome"	"Phagosome"	"Phosphatidylinositol signaling system"	"Phototransduction"	"PPAR signaling pathway"	"Primary immunodeficiency"	"Prion diseases"	"Progesterone-mediated oocyte maturation"	"Prostate cancer"	"Proteasome"	"Protein export"	"Protein processing in endoplasmic reticulum"	"Proximal tubule bicarbonate reclamation"	"Regulation of actin cytoskeleton"	"Regulation of autophagy"	"Renal cell carcinoma"	"Renin-angiotensin system"	"Ribosome"	"RIG-I-like receptor signaling pathway"	"RNA degradation"	"RNA polymerase"	"Salivary secretion"	"Shigellosis"	"Small cell lung cancer"	"SNARE interactions in vesicular transport"	"Spliceosome"	"Systemic lupus erythematosus"	"T cell receptor signaling pathway"	"Taste transduction"	"TGF-beta signaling pathway"	"Thyroid cancer"	"Tight junction"	"Toll-like receptor signaling pathway"	"Toxoplasmosis"	"Type I diabetes mellitus"	"Type II diabetes mellitus"	"Ubiquitin mediated proteolysis"	"Vascular smooth muscle contraction"	"Vasopressin-regulated water reabsorption"	"VEGF signaling pathway"	"Vibrio cholerae infection"	"Viral myocarditis"	"Wnt signaling pathway"
"Apoptosis"	1	4.49698684126956e-16	1	3.16339395970989e-10	1.18202182277463e-06	0.043965869864704	4.72962337539627e-13	7.68312228256653e-13	4.0864464011906e-20	0.797454527440725	0	1	0.131714170390475	0.298094675759304	0.0134259502493975	5.76760937413534e-24	8.1543681902706e-05	0.669985400370686	1	1	0.57057924041966	0.000687017297120438	3.3874637255584e-10	1	1	0.469386278269742	1.20226109618405e-25	4.50079918772153e-11	1.74721264091395e-18	1	1	3.42153309375325e-17	1	5.10673429667145e-05	1.13427945092499e-05	0.0349393940849775	1	1	1	0.985080640662169	4.84981086055525e-13	4.86161874966765e-05	9.13082246612964e-08	2.71631462272637e-09	1.98502589955335e-06	2.58505770066066e-07	0.102346366987273	0.0582181370511236	2.95417337412572e-09	0.139492385845632	0.00161657139134443	0.0242452316131638	0.00798543473944839	1	0.0728181956804236	0.820800991710799	7.18334595849364e-14	0.634780146465909	2.50327320062304e-07	1.20911182379037e-05	0.00214676251731245	1	8.24179812621887e-08	1	0.0794917040195332	7.89765129981122e-18	1	0.143111559295411	6.79608231916281e-10	1	3.07665853148433e-09	2.27651982202145e-18	1	1.51249907740916e-20	1.66260249072731e-09	1	8.62037148907845e-13	1	1	0.956568296345606	1.20249561691124e-05	6.06272074934755e-09	6.88186284876522e-19	1	0.265706756056138	1	5.31265925277527e-18	1	1	0.000131195924592341	1	1	0.505331082190064	4.06663524321343e-06	7.11106709330624e-11	6.59810924687107e-18	1	1	0.23580987585142	1	0.0630330484730021	1	8.24179812621887e-08	1	1	6.79608231916281e-10	1	1	0.099228435192868	0.00152848174527642	4.64687473975158e-27	1	1	0.944494853864617	2.12871436778275e-22	0.0189666693707415	0.820800991710799	0.111916371010107	0.500024377202205	9.7223861653285e-22	1.25675809823949e-27	0.00197797379971421	1.59292229509464e-08	0.524881263514974	0.197373742347749	0.0107172599914481	4.23713872787784e-18	0.0242452316131638	0.0159085234586035	3.42952892496062e-05
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	1	0.00338446793032601	4.11650609588326e-14	1	1	1	0.159450716566368	0.0330707736721817	1	1	1	0	1	1	0.895838901527925	1	3.10466718714063e-07	0.00230374431048545	1	1	1	0.031597712429991	0.525969832903886	2.15098454762036e-23	0.000456305966192303	1	1	1	1	1	1	0.00390505695119432	1	1	1	7.4253845667456e-89	1	1	2.24767326816393e-21	1	2.0931920635314e-06	1	1	1	1	1.20159749841623e-21	0.792138780737527	0.724517885581706	1	0.0937726086230297	1	1	0.000118099737067059	1	1	5.87390806403233e-92	1	0.210818855882663	1	0.36320458999204	7.00178666257782e-09	1	0.70446923955627	1	1	1.05191172522425e-08	1	0.0296684758939605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.520489152218921	1	0.000453710110419347	9.9733263164013e-05	1	0.00032638220819886	1	1	1	1	1	1	0.0175351781298686	1	1	1	1	2.02427758012559e-18	1	1	1	1	1	1	1	1	0.000705521560610025	0.000515646992977224	1	1	0.224953640930857	1	1	1	0.000111222475238576	2.09199083454839e-06	1	0.40450607834278	1	0.191989657092373	1	0.136475098004153	1	1	0.0149041983884717	3.61843668336237e-08	0.115443525849248
"Asthma"	1	1	1	0.386525722906442	1	4.83771313728785e-41	0.710495440220813	0.174528209528737	0.32016111325051	1.35571498833322e-22	0.131714170390475	1	0	1.38236304258518e-34	1	1	1	1	1	1	1	1	1	1	5.99202592682311e-20	1	0.171944216251572	0.752900406389332	1	1	1	1	1	1.00746618995769e-05	1	0.489755459410355	1	1	1	1	1	1	1	5.25198046196156e-08	1	1	1	1	1	1	1.30401953124616e-27	1	6.71095783846824e-09	1	1	0.4626838620994	1	1.11903979329252e-35	0.000703511801656491	4.0877466145164e-27	1	1	1	1	0.000439232239132616	0.864785677039545	1	1	1	1	1	0.259687384412256	1	1	0.0729109093064542	1	1	1	1	1	1	1	1	1	1	1	1	1	1.27541105637737e-15	1	1	1	0.025857949684225	1	1	1	1	1	1	1	1	1	1	1	1	0.404304390224679	1	1	1	1	1	1	1	5.34046347829758e-23	0.00092841725111547	1	0.4626838620994	1	1	0.166797469159608	1.56596720689773e-23	3.30289087811403e-27	0.289636441900839	1	1	1	1	1	5.66019452460711e-25	1
"Autoimmune thyroid disease"	1	1	1	1	1	5.47999503612825e-71	0.881899534757075	0.734298805709586	1	2.19789501120705e-27	0.298094675759304	1	1.38236304258519e-34	0	1	1	1	1	1	1	1	1	1	1	1.07566490276306e-30	1	0.0389946064484484	1	1	1	1	1	1	1.20456293105112e-13	4.59187796558143e-14	1	1	1	1	0.0124757533125441	1	1	1	0.256440679878388	1	1	1	1	1	0.720374087520966	9.5986233819641e-54	1	1.07537852460004e-05	1	1	1	1	3.65247841922825e-37	1.0617330567689e-13	9.97583738093471e-20	1	1	1	1	0.0246817220744146	0.854296896405167	1	1	1	1	1	5.91934762685542e-20	0.664865965958323	0.796956654388001	1	1	1	1	1	1	1	0.579940470508366	1	1	1	1	0.922344918836148	1	7.96394380723368e-20	1	1	1	0.0692050891937943	1	1	1	1	1	1	1	1	4.32432833063452e-17	1	1	1	1.23480830954867e-12	1	1	1	1	1	1	1	1.34149403045615e-19	0.000322796651906463	1	1	1	1	2.60959640077988e-14	4.0826870351821e-16	9.36162003793704e-53	1	1	1	1	1	1	2.31745012968657e-39	1
"Axon guidance"	1	0.0293003185730683	0.000277974691173684	1	0.12170704689564	1	0.00911899569440439	0.956519430501532	0.000121098723460669	1	0.0134259502493976	0.895838901527925	1	1	0	5.92754254467908e-16	0.0186364805554626	0.804631004754923	1	1	0.00689909573252404	0.259270106366462	1	1	0.911649661521398	0.892826119752763	0.184210681959968	1.54771892043848e-06	0.0186364805554626	1	1	6.17939059373297e-05	1	0.986263919306619	1	0.935628510243577	1	0.034627762554467	0.918097523333784	0.719749296533345	0.00365408155847144	0.134572781222346	2.11830033267321e-09	0.000412924053780828	0.000377081796291288	2.09655378225596e-07	0.00430511457235899	0.365106765134101	0.0395457308202002	0.0724143230737624	1	0.810382396901572	1	1	1	0.920524681498255	0.207268469097992	0.429656074372421	1	0.365106765134101	2.99319994378321e-05	0.000852134156995104	5.53290520013018e-07	1	0.779842459563657	2.26740119293036e-05	1	0.00261641958443159	0.0164314371502772	1	0.449606148909143	2.48337506470307e-11	1	0.00335320325003079	0.54309064940525	1	0.0194607424472459	1	1	1	0.00552417223789192	1	0.0038988956233414	0.799013606294928	1	4.12062233002329e-05	0.0270131188709771	1	0.950014004164925	1	1	1	1	0.0800758677792867	0.0398844943245706	0.0438150494894765	1	1	1	1	1.39420015341011e-09	1	7.36840498951908e-09	1	1	1	1	1	1	0.000462397139115785	0.708039479036717	1	1	1	2.872591496292e-21	1	0.10006626195158	0.00130213796884212	0.0401455428699914	0.574776871614008	0.193624023334872	1	0.39904755898221	1	0.120255385451084	1	5.05257995917478e-17	1	0.0658978563596285	4.30859608376986e-08
"B cell receptor signaling pathway"	1	4.5342216409987e-34	0.0015240875803941	9.16227650009771e-09	1.62092238586067e-12	1	0.000455762886015066	1.06551311050009e-06	2.19561770995073e-06	1	5.76760937413527e-24	1	1	1	5.92754254467908e-16	0	2.81514776205377e-06	0.610710421380485	1	1	3.39383195568299e-07	0.00280677741511912	2.21871401687631e-12	1	0.905089685303146	0.89076329681698	5.55589145572457e-18	1.26124494504497e-30	6.10607773303273e-33	1	1	7.66398895012204e-25	0.694402089501199	1	3.5509515972965e-05	1	1	1.11884287576371e-07	1	0.972080529650675	1.08125838887183e-28	1.36763210246071e-07	3.50004335021581e-27	1.41066050657276e-42	4.66321258940722e-26	1.80975504151629e-19	2.11843579451158e-08	0.719763763271316	1.26073524366913e-27	7.94790225853246e-09	1	0.617373296413909	0.189854723724347	1	1	1	2.74591978524384e-20	1	2.66650220257856e-08	3.11614601868664e-07	5.74643618201913e-10	1.81627687331876e-07	1.01769579025479e-14	1	0.582894864377658	8.59421283184805e-24	1	6.3267160505486e-06	8.46902778802331e-19	1	1.18171741338143e-12	2.15909645106478e-44	1	3.03188188466214e-31	6.82817786126025e-07	1	5.03563837677675e-30	1	1	1	1.71823602885388e-05	1	1.05225559545603e-26	0.513349575997919	1	1	7.12071483637699e-22	1	0.757291875057977	4.78426264336069e-08	1	1	0.000263641531320635	0.00265177490645888	3.91188073737925e-13	1.03136746941127e-31	1	1	1	1	2.57265298487316e-14	1	1.05225559545603e-26	1	1	0.00016630814487826	1	1	0.784034424856165	7.52035855852021e-08	1.19849539610624e-14	1	1	0.914602174817186	5.02443644580232e-72	1	0.42346626037445	3.44156854330319e-07	0.0070320413222092	2.85904067763682e-22	1.89967969705269e-14	1	1.62382974834313e-10	1	0.0130293401393276	1	3.11755851990538e-47	0.24425229454217	0.132643990368291	2.46989022702673e-11
"Bacterial invasion of epithelial cells"	1	4.69081699288772e-06	1.51772632239209e-18	1	2.74162327749794e-07	1	1	8.05233824418382e-07	0.587069210048595	1	8.15436819027061e-05	3.10466718714063e-07	1	1	0.0186364805554627	2.81514776205377e-06	0	0.600708059854213	1	1	0.503425405397023	1	3.32429488189142e-07	1	0.661507002488602	0.884061100621227	0.000264768537825954	7.06612659995935e-15	5.81350648391037e-16	1	1	2.87637180451997e-09	1	0.989446066542239	1	0.00376132514001277	1	1	0.159458325891951	2.54542770268497e-09	3.15012091632051e-14	0.0248865762544983	1.36592791150422e-18	4.37681070315799e-06	1.47545617041642e-29	3.75135078743829e-30	0.778725976982273	0.71001141106906	3.12961491560081e-10	0.498865942185842	1	1	0.774947496589221	1	0.362739434741269	0.00252536041227887	3.16873281096692e-11	1	3.6315655225674e-05	0.71001141106906	5.79538250944872e-21	1	1	0.137125428576859	0.572971086241875	0.651810827579804	1	0.819467190896368	1.6034640835334e-07	1	1.53268012408485e-06	2.31785998020808e-07	1	6.294155304431e-13	1	1	2.06410229511178e-06	1	1	1	0.852790849156604	1	1.39577899854982e-07	0.498865942185842	1	5.05031294079923e-24	1.90360372482148e-11	1	0.014887411788234	3.39259642857529e-05	1	0.684503077645156	1	1	9.81850303991211e-06	1.18515715708602e-05	1	1	1	1	2.4166466610961e-30	1	2.74215697213193e-12	1	1	1	1	1	1	3.12382550718671e-37	7.89448911233977e-08	1	1	1	1.29697374131158e-08	1	0.759186699876339	0.0815218294095337	1.7822754733868e-07	3.59917565215466e-05	0.00030078349115616	1	6.8396234450219e-07	0.40225807120481	0.857721109262234	1	9.03948805566785e-12	0.0130005395826949	0.00132328364377546	0.455293785659615
"Basal cell carcinoma"	1	0.00616379211978692	0.00217245705448724	1	1	1	0.881899534757075	1	0.485731897762763	1	0.669985400370686	0.00230374431048545	1	1	0.804631004754923	0.610710421380485	0.600708059854213	0	1	1	0.409228926767111	1	1	1	1	0.47468316094994	1	0.91011074549435	0.600708059854213	1	1	1.17243132333352e-10	1	0.967345492001614	1	1	1	1	1	1	1.52782126661864e-11	1	0.665759369409193	1	1	0.719960817777842	1	1	0.558113373997219	1	1	4.15853673196259e-51	1	1	0.905303710880044	1	0.823730731778993	1	1	1	0.775015196963021	1	1	1	1	0.968201099374556	1	1.22353777850958e-52	0.590453489153203	1	1	1	1	0.466420975484747	1	1	0.492183710176779	0.0198948202158274	1	1	1	0.579940470508366	0.585229681616891	1	1	0.523269503293121	6.9805122576182e-65	1	1	1	1	1	1	1	1	9.56438202233774e-05	1	1	1	1	0.756782389516933	1	1	1	1	1	1	1	1	1	0.652759924799533	1	1	1	0.74429333720166	1	0.284221181995454	1.04735516352127e-06	0.816793432772622	1	1	1	1	1	1	1	1	1	1	3.91682269053004e-55
"Basal transcription factors"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0157323664927349	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000393408841883822	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Base excision repair"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0.631768698983925	1	1	1	1	1	1	1	1	1	1	4.69738075939216e-16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.16895131238214e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.17199245326174e-08	1	1	1	1	1	0.0048964909691724	1	1	3.4079305858014e-13	1	1	1	1	1	1	1	1	1	1	1	1	1	0.23682890679697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Bladder cancer"	1	9.5485933121752e-14	0.000630064964689859	1	0.00700721388240099	1	0.476480519305551	0.635998518525491	0.397743309421387	1	0.57057924041966	1	1	1	0.00689909573252404	3.39383195568299e-07	0.503425405397024	0.409228926767111	1	1	0	0.507420155408603	1	1	0.731169361657883	1.49930029067739e-08	0.0743760979461461	5.02054046503186e-05	6.3544285573855e-28	1	1	1.39007454604535e-10	1	0.0113617691209669	1	1	1	2.74903257345768e-06	0.553592535274225	0.0425196733171824	1.69627602122745e-23	0.134934541822095	4.51064374404398e-16	5.10522235478376e-07	0.0118525926725453	1.0247209967292e-11	6.13807138835391e-09	1	3.55793192745372e-31	1.9154531945016e-08	1	1	1	1	0.834243525741223	1	3.59170749961509e-07	1	0.434653981970201	0.154548753918397	0.307897351267441	4.86319289089473e-10	4.86319289089473e-10	1	0.0833694457188626	7.95435916919338e-09	1	3.66068802309755e-06	3.47529989319134e-32	1	1.77378702943112e-08	3.59170749961509e-07	1	1.26829126131337e-08	0.0202599747230299	1	2.39920369499485e-33	1	1	1	0.0921259131804007	2.82860219570367e-06	2.35932814092549e-32	1	1	0.431562279053842	8.07313663524464e-42	1	0.785610016207355	1	1	0.483851404355024	1	0.00029369167007861	1.35115118235798e-05	7.08977722460565e-26	1	1	1	1	4.38663847959418e-08	1	1.36469334130782e-17	1	1	0.493730743590597	1	1	1	0.0220307732534763	8.24152437598065e-07	1	1	1	4.89523748741268e-07	1	0.00806932970840227	4.30656266165247e-18	0.0367036340536478	0.00251924135014699	0.363816753071213	1	0.0723595826358832	0.738970033652469	8.80328735508211e-05	1	2.21677997346063e-08	1	0.512938759341908	0.170455907698522
"Calcium signaling pathway"	1	1	0.810725198875596	1	0.236587864952865	1	6.81946475897838e-16	2.02428530666915e-08	7.59802267642045e-07	1	0.000687017297120436	0.031597712429991	1	1	0.259270106366462	0.00280677741511912	1	1	1	1	0.507420155408603	0	0.247433481134938	0.0140990190549428	1	1	0.000224318182727217	0.00132645065132785	1	1	1	1	0.528092236676368	0.998913852270584	1	4.19885150979437e-12	1	0.641719299130062	1	0.585132773856312	0.624181860001939	0.518148413292278	3.41322890574909e-05	0.39164161035367	0.085468464608458	0.28592396561454	1.46206262010278e-25	2.32497649841371e-36	2.96351246460469e-11	9.26570245151913e-30	1	0.185710935273467	0.974812768674044	1	0.000371172153063513	0.0197711743225573	0.00032931601489102	1	1	0.804713284414535	0.335715338245886	1.15798983744455e-10	1.6240010333391e-42	1	1	5.89177037357458e-06	1	4.58947727979143e-20	0.547636586370725	1	1	0.0030763881533489	1.02145263184658e-33	0.00144528844351637	1	1	0.00533627795880773	1	1	0.387809202593812	1.59372530247143e-19	1	0.778950696329643	2.52415241106725e-21	0.0817082193549644	0.912135856775499	0.859552976470831	0.960135362216179	0.998681662224776	6.20951726360645e-17	0.000841963773831503	1	1	0.049767581259744	0.000622500601062678	0.482147880896862	1	1	1	1	0.0914819894242192	1	1	0.502088871021759	1	1	1	1	1.7262090222918e-39	1	0.968962700020088	1	1	0.997289047292911	0.0669499440718187	6.08831074730113e-07	1	1	0.91153110825892	1	0.996197903129502	1	0.0104742177717667	1	7.56673172173285e-36	0.00161767495723369	2.07428154301682e-07	1.43091923576841e-06	1	8.96386926831349e-08
"Carbohydrate digestion and absorption"	1	4.377605647636e-12	1	0.000416943125868925	2.82081538127972e-27	1	0.488919532635918	3.57755308326156e-08	1	1	3.3874637255584e-10	0.525969832903886	1	1	1	2.2187140168763e-12	3.32429488189142e-07	1	1	1	1	0.247433481134938	0	2.42522394236545e-09	1	1	1.21329133681852e-10	1.19928986059669e-08	4.1659306029635e-11	1	1	6.40613209653011e-12	1	1	1	0.595581035443895	1	1	1	1	8.14058816963906e-13	1	1.39227832715443e-11	4.23662395947244e-12	4.07067914858619e-11	2.39327017330559e-07	0.216603058087649	1.10269928860511e-09	3.65247242972716e-13	0.0734042722100124	1	1	1	1	0.841220760721399	0.566449995953495	3.69223069472763e-14	1	1.45379120376425e-07	0.516485052789248	1.29258714841421e-06	0.146860845469595	0.146860845469595	1	1	0.11491102078256	0.216611538701697	0.25988101987799	3.03815947060234e-11	1	8.14058816963906e-13	4.53046907131222e-06	1	1.66364063408116e-08	1	1	3.34244776488106e-14	1	1	1	1	1	2.58475242022100e-11	4.18222775631573e-12	1	1	4.11881501693635e-05	1	1	1.87909370580355e-09	0.246718124193434	1	1	1	2.98405016753676e-10	3.83924809401972e-10	1	1	1	2.29522996193072e-13	0.000916958102338087	1	2.58475242022100e-11	1	1	1	1	1	2.92167326009418e-14	1	2.01949838756298e-10	1	1	1	3.19063722097024e-09	0.00147738293491225	1	1	0.0395522774293559	1.71576867850197e-09	3.18829305019202e-08	1	1.01774660924638e-16	1	0.101189762075511	1	2.6175008721711e-12	0.422346579656066	1	0.43327677909016
"Cardiac muscle contraction"	1	1	1	1	3.51165041641978e-08	1	1.10631520874146e-35	1	1	1	1	2.15098454762036e-23	1	1	1	1	1	1	1	1	1	0.0140990190549428	2.42522394236545e-09	0	1	1	1	1	1	1	1	1	1	1	1	2.57756674118021e-40	1	1	1	1	1	1	1	1	1	0.97631554717337	1	5.46093385944419e-06	1	0.108103312351777	1	1	1	1	4.98219462418087e-27	8.34892073085398e-42	1	1	1	1	0.886512553556187	1	0.722998162445223	1	1	2.73615295290636e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.6704671170633e-07	2.15509450140829e-32	1	0.997973549314815	1	1	1	1	1	1	1	1	1	1	1	1	8.48585283477012e-11	0.90801873265598	1	1	1	1	1	1	1	3.29508004426508e-06	1	1	1	1	1	1	1	1	0.41100315020261	0.437062728846372	1	1	1	0.207489715647403	1	0.155844185899766	1	1	1	0.393700376891792	1
"Cell adhesion molecules (CAMs)"	1	1	0.0265018745944991	1	1	9.597061590008e-35	1	0.838964866004051	1	5.28302842204786e-21	1	0.000456305966192303	5.99202592682315e-20	1.07566490276307e-30	0.911649661521398	0.905089685303146	0.661507002488602	1	1	1	0.731169361657882	1	1	1	0	1	1	1	1	1	1	1	1	0.998057451943994	1	0.00675767998658154	1	1	7.23451779339967e-06	0.44079008217428	0.803743446451943	0.346571070580561	1	1	0.949698676602941	0.273652460243384	1	1	1	1	2.46784907243444e-29	1	3.53993710462952e-07	1	1	0.00417941612384825	0.986868525706506	2.51679732977595e-27	1	1.91956478693001e-14	1.73597051553626e-26	1	1	1	2.08945840558785e-09	1	1	1	0.892277588087337	1	1	0.0237903213559013	1	1	1	1	1	1	1	1	1	1	1	1	1	0.10572113814289	0.992554952298971	1	8.92493814518972e-14	1	1	1	7.14271856047262e-05	0.291450838283531	1	1	1	1	1	1	0.065740954634845	1	1	1	1	1	1	1	1	0.865593530796788	0.47879550966621	1	1	1.01720139111138e-09	0.00547279907744924	1	1	0.595742274894865	7.60100703282494e-13	0.611069750752842	2.25162790918128e-09	1.28032283455677e-28	1	1	1	1	1	1	1.32426232642568e-28	1
"Cell cycle"	1	0.249329330120681	0.0641590428598931	1	0.709238177066603	1	0.993356955920137	0.589334313924707	0.790021183329354	1	0.469386278269741	1	1	1	0.892826119752763	0.89076329681698	0.884061100621227	0.474683160949941	1	0.631768698983925	1.4993002906774e-08	1	1	1	1	0	0.180207236792966	0.996500022865611	2.71515813276668e-16	0.00382226844670924	1	8.44796693529543e-06	1	0.985567061553494	1	0.499073576861976	5.86424089424776e-05	1	1	0.546044720840354	0.0617798125103153	1	0.105167912774374	1	1	0.840195617644059	0.930171982089781	1	1.78245370000106e-06	1	1	0.807885668527833	1	1	0.624304579551226	0.44662811253643	0.982991585837715	0.770509667053018	0.289125653557621	0.360506527734217	1	1	0.605355925586559	1	0.181202758663909	0.368078700191964	1	0.569427016539598	4.40072602444473e-06	0.490828182180707	1	1	1	0.00998083067851421	1	0.0599214300877642	1.85172174214952e-05	0.045370455431841	0.036865071871652	1	9.3619964554337e-38	4.21764011495125e-22	6.5891592932856e-10	1	1	0.241545536263625	3.24388591038329e-10	1	1	1	1	1	1	1	9.83215789522819e-26	2.19168100632388e-08	1	1	0.717670082707105	1	1	1	0.0148648012643879	1	1	1	1	1	1	0.556162771013272	9.61093754121661e-09	1	1	1	0.825270615719059	1	1.24250804834891e-12	0.0496494984236651	0.981378369367409	1	0.750250194357401	1	1	2.10037785084401e-10	1	1	1	1	0.64314290707507	2.26676927556026e-05
"Chagas disease"	1	4.18273714069205e-16	0.00781070788760311	2.17963580361931e-10	2.55055464933306e-08	2.87245814804616e-06	0.000125145215798362	4.57959075794821e-33	0.00134814215816721	0.282341049705643	1.20226109618407e-25	1	0.171944216251572	0.0389946064484485	0.184210681959968	5.55589145572458e-18	0.000264768537825954	1	1	1	0.0743760979461462	0.000224318182727217	1.21329133681852e-10	1	1	0.180207236792966	0	3.8905077467092e-21	8.23032909483736e-24	1	1	6.33593456219708e-26	0.00520524696460052	9.52229727761953e-10	4.6964447111067e-07	0.0201205183207975	1	0.115265876095512	1	0.106267103962473	8.96943763009517e-11	8.6555021917815e-14	5.23985839011405e-13	9.32289204496107e-19	2.13994530239514e-07	3.03895584290301e-06	1.11060421432039e-07	6.66819749691652e-06	1.80295477990305e-09	6.85232350904978e-13	5.96172302082434e-05	1	0.0173415828728157	1	0.265529802447285	0.014065096185249	1.09290083960393e-08	0.0287566242331932	2.23574182034659e-10	3.0204977429212e-31	6.30351260529211e-08	1.46060108139132e-13	0.000197066300820132	1	2.01429838640423e-13	1.6398172466973e-14	1	5.00538862140522e-07	5.67879569331616e-09	1	8.96943763009517e-11	1.48771985473809e-09	0.998718072152525	4.2894256132691e-22	7.33770935996087e-23	1	1.50580790820661e-10	1	1	0.999934566867177	0.00491227854160852	0.219082407273347	6.23927022439041e-29	0.00898622059716223	1	0.755544068604136	6.92168240119325e-19	0.84533106885796	0.316238108851051	1.73867290346798e-07	1	1	0.0476214493032399	9.68736978211484e-07	2.5448345984203e-20	5.95916630586262e-14	0.681657090259544	1	0.555241881724832	1	0.0116073228115678	0.565420838347606	1.46060108139132e-13	0.332321923912725	1	1.55521213304303e-18	1	1	0.00452442102990094	4.96720958630162e-13	1.9074803078485e-14	1	1	0.0478420589956872	4.13729304529839e-31	0.34551626226628	5.91772255488442e-10	0.147061283149436	2.07951152287076e-06	3.97221604457422e-57	8.3624558291816e-50	8.67441077505916e-06	5.12568445891706e-14	0.964910357799202	0.000333554360683126	0.649627347950814	6.3261166377323e-13	0.737269905326252	0.833716026074108	8.63120011363624e-06
